date,entry_time,entry_price,exit_time,exit_price,signal,gross_pnl,transaction_cost,net_pnl,cum_pnl,running_max,drawdown
2015-06-26,2015-06-26 09:30:00,8363.65,2015-06-26 15:15:00,8381.65,-1,-18.0,0.021599999999999998,-18.0216,1112.0362399999997,1245.1558799999975,-133.11963999999784
2015-06-29,2015-06-29 10:20:00,8240.15,2015-06-29 15:15:00,8310.8,1,70.64999999999964,0.08477999999999955,70.56521999999964,1182.6014599999994,1245.1558799999975,-62.55441999999812
2015-06-30,2015-06-30 09:30:00,8310.4,2015-06-30 15:15:00,8367.9,-1,-57.5,0.06899999999999999,-57.569,1125.0324599999994,1245.1558799999975,-120.12341999999808
2015-07-01,2015-07-01 09:30:00,8387.95,2015-07-01 15:15:00,8446.1,1,58.149999999999636,0.06977999999999955,58.080219999999635,1183.112679999999,1245.1558799999975,-62.04319999999848
2015-07-03,2015-07-03 12:45:00,8462.15,2015-07-03 15:15:00,8478.95,-1,-16.80000000000109,0.02016000000000131,-16.820160000001092,1166.292519999998,1245.1558799999975,-78.8633599999996
2015-07-07,2015-07-07 09:30:00,8534.2,2015-07-07 15:15:00,8510.55,-1,23.650000000001455,0.028380000000001744,23.621620000001453,1189.9141399999994,1245.1558799999975,-55.24173999999812
2015-07-08,2015-07-08 09:35:00,8430.05,2015-07-08 15:15:00,8358.15,-1,71.89999999999964,0.08627999999999955,71.81371999999963,1261.727859999999,1261.727859999999,0.0
2015-07-09,2015-07-09 09:45:00,8350.65,2015-07-09 15:15:00,8326.95,-1,23.69999999999891,0.02843999999999869,23.67155999999891,1285.399419999998,1285.399419999998,0.0
2015-07-10,2015-07-10 10:05:00,8354.5,2015-07-10 15:15:00,8359.95,-1,-5.450000000000728,0.006540000000000872,-5.456540000000729,1279.942879999997,1285.399419999998,-5.456540000000814
2015-07-13,2015-07-13 10:10:00,8366.1,2015-07-13 15:15:00,8462.2,-1,-96.10000000000036,0.11532000000000042,-96.21532000000036,1183.7275599999966,1285.399419999998,-101.67186000000129
2015-07-14,2015-07-14 09:35:00,8433.6,2015-07-14 15:15:00,8461.4,-1,-27.799999999999272,0.033359999999999126,-27.83335999999927,1155.8941999999975,1285.399419999998,-129.50522000000046
2015-07-15,2015-07-15 09:30:00,8500.6,2015-07-15 15:15:00,8526.7,1,26.100000000000364,0.03132000000000043,26.068680000000363,1181.9628799999978,1285.399419999998,-103.43654000000015
2015-07-16,2015-07-16 09:45:00,8568.5,2015-07-16 15:15:00,8605.9,1,37.399999999999636,0.04487999999999956,37.35511999999964,1219.3179999999975,1285.399419999998,-66.08142000000043
2015-07-20,2015-07-20 09:30:00,8574.7,2015-07-20 15:15:00,8601.15,-1,-26.44999999999891,0.031739999999998686,-26.481739999998908,1192.8362599999987,1285.399419999998,-92.56315999999924
2015-07-21,2015-07-21 09:35:00,8606.95,2015-07-21 15:15:00,8526.15,1,-80.80000000000109,0.0969600000000013,-80.89696000000109,1111.9392999999975,1285.399419999998,-173.46012000000042
2015-07-22,2015-07-22 09:30:00,8514.6,2015-07-22 15:15:00,8633.3,1,118.69999999999891,0.14243999999999868,118.55755999999892,1230.4968599999963,1285.399419999998,-54.902560000001586
2015-07-24,2015-07-24 09:55:00,8579.3,2015-07-24 15:15:00,8522.3,1,-57.0,0.06839999999999999,-57.0684,1173.4284599999964,1285.399419999998,-111.97096000000147
2015-07-27,2015-07-27 09:40:00,8445.1,2015-07-27 15:15:00,8356.35,-1,88.75,0.1065,88.6435,1262.0719599999964,1285.399419999998,-23.327460000001565
2015-07-28,2015-07-28 10:20:00,8396.15,2015-07-28 15:15:00,8337.45,1,-58.69999999999891,0.07043999999999868,-58.770439999998906,1203.3015199999975,1285.399419999998,-82.09790000000044
2015-07-31,2015-07-31 09:30:00,8483.45,2015-07-31 15:15:00,8536.05,1,52.599999999998545,0.06311999999999825,52.53687999999855,1255.838399999996,1285.399419999998,-29.561020000001918
2015-08-03,2015-08-03 09:30:00,8550.65,2015-08-03 15:15:00,8547.05,1,-3.600000000000364,0.004320000000000436,-3.604320000000364,1252.2340799999956,1285.399419999998,-33.16534000000229
2015-08-04,2015-08-04 09:30:00,8502.45,2015-08-04 15:15:00,8513.35,-1,-10.899999999999636,0.013079999999999562,-10.913079999999637,1241.320999999996,1285.399419999998,-44.07842000000187
2015-08-05,2015-08-05 14:05:00,8562.8,2015-08-05 15:15:00,8569.45,-1,-6.650000000001455,0.007980000000001746,-6.657980000001457,1234.6630199999945,1285.399419999998,-50.736400000003414
2015-08-06,2015-08-06 09:30:00,8557.95,2015-08-06 15:15:00,8592.65,-1,-34.69999999999891,0.041639999999998685,-34.74163999999891,1199.9213799999957,1285.399419999998,-85.47804000000224
2015-08-10,2015-08-10 09:35:00,8602.2,2015-08-10 15:15:00,8506.65,1,-95.55000000000109,0.1146600000000013,-95.66466000000109,1104.2567199999946,1285.399419999998,-181.1427000000033
2015-08-11,2015-08-11 09:40:00,8523.85,2015-08-11 15:15:00,8460.55,1,-63.30000000000109,0.0759600000000013,-63.37596000000109,1040.8807599999936,1285.399419999998,-244.51866000000427
2015-08-12,2015-08-12 09:30:00,8418.2,2015-08-12 15:15:00,8345.4,-1,72.80000000000109,0.0873600000000013,72.71264000000109,1113.5933999999947,1285.399419999998,-171.80602000000317
2015-08-14,2015-08-14 09:55:00,8403.35,2015-08-14 15:15:00,8521.25,1,117.89999999999964,0.14147999999999955,117.75851999999963,1231.3519199999944,1285.399419999998,-54.04750000000354
2015-08-18,2015-08-18 09:40:00,8518.5,2015-08-18 15:15:00,8470.6,1,-47.899999999999636,0.05747999999999956,-47.957479999999634,1183.3944399999948,1285.399419999998,-102.00498000000312
2015-08-19,2015-08-19 09:30:00,8456.5,2015-08-19 15:15:00,8491.4,1,34.899999999999636,0.041879999999999556,34.85811999999964,1218.2525599999944,1285.399419999998,-67.14686000000347
2015-08-20,2015-08-20 09:30:00,8489.3,2015-08-20 15:15:00,8374.45,1,-114.84999999999854,0.13781999999999825,-114.98781999999855,1103.264739999996,1285.399419999998,-182.13468000000194
2015-08-21,2015-08-21 09:35:00,8252.6,2015-08-21 15:15:00,8308.1,1,55.5,0.06659999999999999,55.4334,1158.6981399999959,1285.399419999998,-126.70128000000204
2015-08-24,2015-08-24 10:15:00,8002.15,2015-08-24 15:15:00,7820.7,-1,181.44999999999982,0.21773999999999977,181.23225999999983,1339.9303999999956,1339.9303999999956,0.0
2015-08-26,2015-08-26 09:30:00,7853.35,2015-08-26 15:15:00,7786.65,1,-66.70000000000073,0.08004000000000086,-66.78004000000072,1273.1503599999949,1339.9303999999956,-66.78004000000078
2015-08-28,2015-08-28 09:30:00,8048.35,2015-08-28 15:15:00,8009.6,1,-38.75,0.04649999999999999,-38.7965,1234.353859999995,1339.9303999999956,-105.5765400000007
2015-08-31,2015-08-31 09:40:00,7973.5,2015-08-31 15:15:00,7968.6,1,-4.899999999999636,0.005879999999999563,-4.905879999999636,1229.4479799999954,1339.9303999999956,-110.48242000000027
2015-09-01,2015-09-01 09:40:00,7918.95,2015-09-01 15:15:00,7785.75,1,-133.19999999999982,0.15983999999999976,-133.35983999999982,1096.0881399999955,1339.9303999999956,-243.84226000000012
2015-09-02,2015-09-02 11:05:00,7779.8,2015-09-02 15:15:00,7720.7,-1,59.100000000000364,0.07092000000000043,59.02908000000036,1155.117219999996,1339.9303999999956,-184.81317999999965
2015-09-04,2015-09-04 09:30:00,7715.6,2015-09-04 15:15:00,7655.35,-1,60.25,0.07229999999999999,60.1777,1215.294919999996,1339.9303999999956,-124.63547999999969
2015-09-08,2015-09-08 10:00:00,7556.1,2015-09-08 15:15:00,7679.15,-1,-123.04999999999927,0.14765999999999913,-123.19765999999927,1092.0972599999966,1339.9303999999956,-247.83313999999905
2015-09-09,2015-09-09 11:30:00,7817.45,2015-09-09 15:15:00,7828.45,1,11.0,0.013199999999999998,10.9868,1103.0840599999965,1339.9303999999956,-236.84633999999915
2015-09-10,2015-09-10 09:30:00,7691.95,2015-09-10 15:15:00,7789.6,-1,-97.65000000000055,0.11718000000000064,-97.76718000000055,1005.316879999996,1339.9303999999956,-334.61351999999965
2015-09-14,2015-09-14 09:30:00,7772.3,2015-09-14 15:15:00,7873.55,-1,-101.25,0.12149999999999998,-101.3715,903.945379999996,1339.9303999999956,-435.9850199999996
2015-09-16,2015-09-16 09:30:00,7873.75,2015-09-16 15:15:00,7901.7,1,27.949999999999818,0.03353999999999978,27.91645999999982,931.8618399999958,1339.9303999999956,-408.0685599999998
2015-09-18,2015-09-18 09:40:00,8000.15,2015-09-18 15:15:00,7992.45,1,-7.699999999999818,0.009239999999999781,-7.709239999999818,924.152599999996,1339.9303999999956,-415.7777999999996
2015-09-21,2015-09-21 09:40:00,7931.35,2015-09-21 15:15:00,7971.5,1,40.149999999999636,0.048179999999999557,40.101819999999634,964.2544199999957,1339.9303999999956,-375.67598
2015-09-22,2015-09-22 09:30:00,7997.05,2015-09-22 15:15:00,7818.85,-1,178.19999999999982,0.21383999999999975,177.9861599999998,1142.2405799999956,1339.9303999999956,-197.68982000000005
2015-09-24,2015-09-24 12:10:00,7850.55,2015-09-24 15:15:00,7865.65,1,15.099999999999454,0.018119999999999345,15.081879999999455,1157.322459999995,1339.9303999999956,-182.60794000000055
2015-09-28,2015-09-28 09:30:00,7851.95,2015-09-28 15:15:00,7795.75,-1,56.19999999999982,0.06743999999999978,56.13255999999982,1213.4550199999949,1339.9303999999956,-126.47538000000077
2015-09-29,2015-09-29 11:00:00,7778.7,2015-09-29 15:15:00,7849.15,1,70.44999999999982,0.08453999999999977,70.36545999999981,1283.8204799999946,1339.9303999999956,-56.10992000000101
