date,entry_time,entry_price,exit_time,exit_price,signal,gross_pnl,net_pnl
2018-03-13,2018-03-13 09:30:00,10419.85,2018-03-13 15:15:00,10410.4,-1,9.4500,9.4387
2018-03-14,2018-03-14 09:30:00,10375.05,2018-03-14 15:15:00,10409,-1,-33.9500,-33.9907
2018-03-15,2018-03-15 10:00:00,10415.4,2018-03-15 15:15:00,10364.4,1,-51.0000,-51.0612
2018-03-16,2018-03-16 09:55:00,10309.55,2018-03-16 15:15:00,10189.3,-1,120.2500,120.1057
2018-03-19,2018-03-19 09:30:00,10194.65,2018-03-19 15:15:00,10087.15,1,-107.5000,-107.6290
2018-03-20,2018-03-20 09:30:00,10093.2,2018-03-20 15:15:00,10118.5,1,25.3000,25.2696
2018-03-21,2018-03-21 12:00:00,10182.2,2018-03-21 15:15:00,10164.65,-1,17.5500,17.5289
2018-03-22,2018-03-22 09:30:00,10189.45,2018-03-22 15:15:00,10111.2,1,-78.2500,-78.3439
2018-03-23,2018-03-23 11:45:00,9959.85,2018-03-23 15:15:00,10005.8,-1,-45.9500,-46.0051
2018-03-26,2018-03-26 12:25:00,10007.25,2018-03-26 15:15:00,10135.25,1,128.0000,127.8464
2018-03-27,2018-03-27 09:30:00,10191.15,2018-03-27 15:15:00,10183.3,1,-7.8500,-7.8594
2018-03-28,2018-03-28 09:30:00,10119.5,2018-03-28 15:15:00,10103.05,-1,16.4500,16.4303
2018-04-02,2018-04-02 09:30:00,10141.8,2018-04-02 15:15:00,10212.05,-1,-70.2500,-70.3343
2018-04-03,2018-04-03 09:35:00,10213.35,2018-04-03 15:15:00,10244.4,-1,-31.0500,-31.0873
2018-04-04,2018-04-04 09:30:00,10242.2,2018-04-04 15:15:00,10135.4,-1,106.8000,106.6718
2018-04-05,2018-04-05 10:10:00,10266.85,2018-04-05 15:15:00,10322.75,1,55.9000,55.8329
2018-04-06,2018-04-06 10:10:00,10322.2,2018-04-06 15:15:00,10332.15,1,9.9500,9.9381
2018-04-09,2018-04-09 09:30:00,10368.25,2018-04-09 15:15:00,10383.85,-1,-15.6000,-15.6187
2018-04-10,2018-04-10 10:20:00,10405.55,2018-04-10 15:15:00,10400.75,-1,4.8000,4.7942
2018-04-11,2018-04-11 13:30:00,10412.9,2018-04-11 15:15:00,10421.65,1,8.7500,8.7395
2018-04-12,2018-04-12 09:30:00,10414,2018-04-12 15:15:00,10460.2,1,46.2000,46.1446
