date,entry_price,exit_price,signal,gross_pnl,net_pnl,cum_pnl,running_max,drawdown
2019-11-13,11940,11842.1,1,-97.9,-97.78252,1897.295,2977.087,-1079.792
2019-11-14,11803.85,11874.45,-1,-70.6,-70.68472,1826.611,2977.087,-1150.476
2019-11-15,11965.25,11891.2,1,-74.05,-73.96114,1752.65,2977.087,-1224.437
2019-11-18,11909.55,11885.25,-1,24.3,24.32916,1776.979,2977.087,-1200.108
2019-11-19,11915.6,11935.6,1,20,19.976,1796.955,2977.087,-1180.132
2019-11-20,11999.15,12000.9,1,1.75,1.7479,1798.703,2977.087,-1178.384
2019-11-21,11996.75,11970.7,1,-26.05,-26.01874,1772.684,2977.087,-1204.403
2019-11-22,11950.75,11912.1,-1,38.65,38.69638,1811.38,2977.087,-1165.707
2019-11-25,11978.25,12077.05,1,98.8,98.68144,1910.062,2977.087,-1067.025
2019-11-26,12119.95,12033,-1,86.95,87.05434,1997.116,2977.087,-979.9709
2019-11-27,12107.3,12098.75,1,-8.55,-8.53974,1988.576,2977.087,-988.5107
2019-11-29,12100.95,12056.25,-1,44.7,44.75364,2033.33,2977.087,-943.757
2019-12-02,12106.55,12047.7,1,-58.85,-58.77938,1974.551,2977.087,-1002.536
2019-12-03,12037.2,11994.95,1,-42.25,-42.1993,1932.351,2977.087,-1044.736
2019-12-04,11964.7,12044.45,1,79.75,79.6543,2012.006,2977.087,-965.0814
2019-12-05,12051.85,12031.25,-1,20.6,20.62472,2032.63,2977.087,-944.4567
2019-12-06,12035.8,11918.95,-1,116.85,116.9902,2149.621,2977.087,-827.4665
2019-12-10,11916.95,11854.8,-1,62.15,62.22458,2211.845,2977.087,-765.2419
2019-12-11,11875.25,11913.8,-1,-38.55,-38.59626,2173.249,2977.087,-803.8381
2019-12-12,11956.3,11974.2,1,17.9,17.87852,2191.127,2977.087,-785.9596
2019-12-16,12088.6,12053.5,-1,35.1,35.14212,2226.269,2977.087,-750.8175
2019-12-17,12107.35,12166.55,1,59.2,59.12896,2285.398,2977.087,-691.6885
2019-12-18,12176,12216.1,-1,-40.1,-40.14812,2245.25,2977.087,-731.8367
2019-12-19,12201.85,12257.7,-1,-55.85,-55.91702,2189.333,2977.087,-787.7537
2019-12-20,12279.8,12266.45,-1,13.35,13.36602,2202.699,2977.087,-774.3877
2019-12-23,12261.45,12263.9,-1,-2.45,-2.45294,2200.246,2977.087,-776.8406
2019-12-24,12280.35,12210.9,1,-69.45,-69.36666,2130.88,2977.087,-846.2073
2019-12-26,12215,12131.1,1,-83.9,-83.79932,2047.08,2977.087,-930.0066
2019-12-30,12282,12257.9,1,-24.1,-24.07108,2023.009,2977.087,-954.0777
2019-12-31,12234.5,12164.4,1,-70.1,-70.01588,1952.993,2977.087,-1024.094
2020-01-02,12231.15,12283.55,1,52.4,52.33712,2005.331,2977.087,-971.7564
2020-01-03,12252.55,12226.6,1,-25.95,-25.91886,1979.412,2977.087,-997.6753
2020-01-06,12085.4,11994.5,-1,90.9,91.00908,2070.421,2977.087,-906.6662
2020-01-07,12119.05,12055.25,-1,63.8,63.87656,2134.297,2977.087,-842.7896
2020-01-08,11991.35,12023.75,1,32.4,32.36112,2166.658,2977.087,-810.4285
2020-01-09,12149.9,12218.55,-1,-68.65,-68.73238,2097.926,2977.087,-879.1609
2020-01-10,12240.15,12258.9,-1,-18.75,-18.7725,2079.154,2977.087,-897.9334
2020-01-13,12313.5,12331,-1,-17.5,-17.521,2061.633,2977.087,-915.4544
2020-01-14,12347.65,12361.55,1,13.9,13.88332,2075.516,2977.087,-901.5711
2020-01-15,12297.2,12348.9,-1,-51.7,-51.76204,2023.754,2977.087,-953.3331
2020-01-16,12362.15,12360.85,-1,1.3,1.30156,2025.055,2977.087,-952.0316
2020-01-17,12336.7,12350.7,-1,-14,-14.0168,2011.039,2977.087,-966.0484
2020-01-20,12358.85,12223.25,-1,135.6,135.7627,2146.801,2977.087,-830.2856
2020-01-21,12219.7,12167.75,1,-51.95,-51.88766,2094.914,2977.087,-882.1733
2020-01-22,12192.8,12107.2,-1,85.6,85.70272,2180.616,2977.087,-796.4706
2020-01-23,12128.1,12181.45,-1,-53.35,-53.41402,2127.202,2977.087,-849.8846
2020-01-24,12191.1,12247.6,1,56.5,56.4322,2183.635,2977.087,-793.4524
2020-01-27,12186.75,12122.9,1,-63.85,-63.77338,2119.861,2977.087,-857.2258
2020-01-28,12154.35,12067.35,1,-87,-86.8956,2032.966,2977.087,-944.1214
2020-01-29,12143.65,12133.95,1,-9.7,-9.68836,2023.277,2977.087,-953.8097
2020-02-01,11946.35,11660.2,1,-286.15,-285.8066,1737.471,2977.087,-1239.616
2020-02-03,11626.3,11695.95,-1,-69.65,-69.73358,1667.737,2977.087,-1309.35
2020-02-04,11846.2,11976.6,1,130.4,130.2435,1797.981,2977.087,-1179.106
2020-02-05,12026.45,12087.4,1,60.95,60.87686,1858.857,2977.087,-1118.23
2020-02-06,12125.85,12136.55,-1,-10.7,-10.71284,1848.145,2977.087,-1128.942
2020-02-07,12106.8,12100.9,-1,5.9,5.90708,1854.052,2977.087,-1123.035
2020-02-10,12045.75,12038.75,-1,7,7.0084,1861.06,2977.087,-1116.027
2020-02-11,12158.15,12114.35,1,-43.8,-43.74744,1817.313,2977.087,-1159.774
2020-02-12,12214.65,12194.45,1,-20.2,-20.17576,1797.137,2977.087,-1179.95
2020-02-17,12066.5,12042.7,-1,23.8,23.82856,1820.965,2977.087,-1156.122
2020-02-18,12000.9,12000.75,1,-0.15,-0.14982,1820.816,2977.087,-1156.271
2020-02-19,12115.35,12123.5,1,8.15,8.14022,1828.956,2977.087,-1148.131
2020-02-20,12134.8,12084.35,1,-50.45,-50.38946,1778.566,2977.087,-1198.521
2020-02-24,11951.2,11831.45,1,-119.75,-119.6063,1658.96,2977.087,-1318.127
2020-02-26,11751.45,11689,1,-62.45,-62.37506,1596.585,2977.087,-1380.502
2020-02-27,11625.5,11640.05,1,14.55,14.53254,1611.118,2977.087,-1365.969
2020-03-02,11299.15,11050.35,-1,248.8,249.0986,1860.216,2977.087,-1116.871
2020-03-03,11261,11298.25,-1,-37.25,-37.2947,1822.921,2977.087,-1154.166
2020-03-04,11303.3,11258.8,1,-44.5,-44.4466,1778.475,2977.087,-1198.612
2020-03-05,11265,11261.95,-1,3.05,3.05366,1781.528,2977.087,-1195.559
2020-03-06,10986.55,10995.15,1,8.6,8.58968,1790.118,2977.087,-1186.969
2020-03-09,10643.8,10466.6,-1,177.2,177.4126,1967.531,2977.087,-1009.556
2020-03-11,10528.4,10454.2,1,-74.2,-74.11096,1893.42,2977.087,-1083.667
2020-03-13,8542.8,9971.85,-1,-1429.05,-1430.765,462.655,2977.087,-2514.432
2020-03-16,9341.15,9175.1,-1,166.05,166.2493,628.9042,2977.087,-2348.183
2020-03-17,9186,8929.4,1,-256.6,-256.2921,372.6121,2977.087,-2604.475
2020-03-18,8952.5,8450.2,-1,502.3,502.9028,875.5149,2977.087,-2101.572
2020-03-19,7963.6,8259.05,1,295.45,295.0955,1170.61,2977.087,-1806.477
2020-03-20,8202.5,8740.95,-1,-538.45,-539.0961,631.5142,2977.087,-2345.573
2020-03-23,8038,7608.25,-1,429.75,430.2657,1061.78,2977.087,-1915.307
2020-03-24,7693.75,7830.75,-1,-137,-137.1644,924.6155,2977.087,-2052.471
2020-03-25,7810.55,8300.85,-1,-490.3,-490.8884,433.7272,2977.087,-2543.36
2020-03-26,8488.4,8622.2,1,133.8,133.6394,567.3666,2977.087,-2409.72
2020-03-27,9023.65,8663.45,1,-360.2,-359.7678,207.5988,2977.087,-2769.488
2020-03-30,8378,8305.6,-1,72.4,72.48688,280.0857,2977.087,-2697.001
2020-03-31,8363.65,8602.25,-1,-238.6,-238.8863,41.1994,2977.087,-2935.888
